brand,model_full,year,km,fuel,gearbox,price
RENAULT,RENAULT TWINGO 3,2020.0,27297.0, Essence, mécanique,11080.0
BMW,BMW SERIE 4 F36 GRAN COUPE,2019.0,59778.0, Diesel, automatique,50690.0
BMW,BMW SERIE 2 F45 ACTIVE TOURER,2017.0,128835.0, Hybride essence électrique, automatique,19740.0
RENAULT,RENAULT TRAFIC 2 MINIBUS,2007.0,225334.0, Diesel, mécanique,13890.0
CITROEN,CITROEN C3 (3E GENERATION),2020.0,14218.0, Essence, mécanique,16780.0
CUPRA,CUPRA FORMENTOR,2022.0,16426.0, Essence, automatique,44210.0
RENAULT,RENAULT CAPTUR 2,2022.0,111.0, Essence, mécanique,23650.0
AUDI,AUDI A1,2017.0,91213.0, Diesel, mécanique,18010.0
BMW,BMW X4 F26,2018.0,77000.0, Diesel, automatique,36270.0
RENAULT,RENAULT CLIO 5,2021.0,16384.0, Essence, mécanique,20810.0
MERCEDES,MERCEDES CLASSE C 4 SW AMG,2016.0,114428.0, Essence, automatique,38410.0
FORD,FORD TRANSIT 4,2019.0,84104.0, Diesel, mécanique,26230.0
FIAT,FIAT 500 (2E GENERATION),2020.0,25221.0, Essence, mécanique,13900.0
BMW,BMW Z4 E89,2011.0,76954.0, Essence, mécanique,26300.0
VOLKSWAGEN,VOLKSWAGEN T-CROSS,2022.0,12.0, Essence, automatique,29500.0
CITROEN,CITROEN C3 (3E GENERATION),2021.0,24338.0, Essence, mécanique,16860.0
BMW,BMW SERIE 3 G20,2022.0,11328.0, Diesel, automatique,55340.0
VOLVO,VOLVO V40 (2E GENERATION) CROSS COUNTRY,2018.0,100620.0, Diesel, mécanique,18700.0
VOLVO,VOLVO V60,2018.0,84899.0, Diesel, automatique,20830.0
AUDI,AUDI Q5 (2E GENERATION),2019.0,127711.0, Diesel, mécanique,38910.0
BMW,BMW X3 G01,2020.0,20944.0, Diesel, automatique,68200.0
FORD,FORD FIESTA 6,2020.0,20267.0, Essence, mécanique,14670.0
PORSCHE,PORSCHE MACAN,2020.0,7564.0, Essence, automatique,148780.0
BMW,BMW X1 F48,2021.0,84211.0, Diesel, automatique,40130.0
AUDI,AUDI Q8,2021.0,6240.0, Hybride essence électrique, automatique,130780.0
RENAULT,RENAULT CLIO 5,2021.0,29118.0, Diesel, mécanique,18130.0
AUDI,AUDI A6 (4E GENERATION) AVANT,2017.0,195566.0, Diesel, automatique,24380.0
MERCEDES,MERCEDES CLASSE B 2,2020.0,33800.0, Diesel, automatique,27110.0
ALFA,ALFA ROMEO GIULIETTA 3,2017.0,67322.0, Essence, automatique,15690.0
RENAULT,RENAULT KADJAR,2020.0,12696.0, Essence, mécanique,22450.0
PEUGEOT,PEUGEOT 108,2021.0,4409.0, Essence, mécanique,14020.0
OPEL,OPEL CROSSLAND X,2020.0,54025.0, Diesel, mécanique,19180.0
MERCEDES,MERCEDES CLASSE A 4,2022.0,17788.0, Diesel, automatique,38560.0
RENAULT,RENAULT CAPTUR 2,2021.0,30495.0, Essence, mécanique,17640.0
BMW,BMW SERIE 2 F45 ACTIVE TOURER,2019.0,69409.0, Diesel, automatique,26980.0
CITROEN,CITROEN C3 (3E GENERATION),2022.0,13634.0, Essence, mécanique,18890.0
PORSCHE,PORSCHE 911 TYPE 991 CABRIOLET TURBO,2015.0,48994.0, Essence, automatique,148390.0
BMW,BMW X1 F48,2022.0,13594.0, Diesel, automatique,60320.0
VOLKSWAGEN,VOLKSWAGEN POLO 6 GTI,2019.0,71400.0, Essence, automatique,24870.0
MERCEDES,MERCEDES CLASSE C 4,2017.0,112468.0, Diesel, automatique,24240.0
BMW,BMW X3 F25,2018.0,182852.0, Diesel, automatique,22380.0
PORSCHE,PORSCHE CAYENNE 2,2014.0,123507.0, Diesel, automatique,38580.0
PEUGEOT,PEUGEOT PARTNER 2 TEPEE,2017.0,105878.0, Diesel, mécanique,15000.0
SEAT,SEAT ATECA,2022.0,13.0, Diesel, automatique,39980.0
MAZDA,MAZDA MX5 (4E GENERATION) ST,2017.0,29549.0, Essence, mécanique,24270.0
PEUGEOT,PEUGEOT 2008,2020.0,7065.0, Essence, mécanique,17800.0
RENAULT,RENAULT SCENIC 4,2020.0,14674.0, Diesel, automatique,24400.0
SEAT,SEAT LEON 4,2022.0,10168.0, Essence, mécanique,32110.0
